Date,Symbol,Side,EntryPrice,SLPrice,Qty,PnL,GapPct,OpenBias,ExitReason,Duration
2026-02-06,ADANIENT,SELL,2213.70,2226.10,15,-186.00,-0.29,NEUTRAL,STOPLOSS,5min
2026-02-10,ITC,SELL,321.80,322.52,105,35.25,0.09,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,105min
2026-02-10,MARUTI,BUY,15136.00,15059.39,2,158.00,0.19,LONG,STAGE1_0.5R+STAGE2_1R,50min
2026-02-11,MARUTI,BUY,15366.00,15285.13,2,132.00,0.29,LONG,EOD_AUTO_EXIT,305min
2026-02-13,TATACONSUM,SELL,1143.10,1145.13,29,-58.82,-0.05,NEUTRAL,STOPLOSS,5min
2026-02-16,HDFCBANK,BUY,916.75,912.15,37,353.05,-0.01,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,175min
2026-02-16,ITC,BUY,315.40,314.75,107,151.60,0.05,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,55min
2026-02-17,ITC,BUY,324.10,321.51,104,135.20,0.14,LONG,EOD_AUTO_EXIT,340min
2026-02-17,MARUTI,BUY,15104.00,15039.79,2,-128.42,-0.19,NEUTRAL,STOPLOSS,5min
2026-02-18,HEROMOTOCO,BUY,5619.50,5605.47,6,-84.18,0.54,NEUTRAL,STOPLOSS,20min
2026-02-18,ITC,BUY,330.10,328.17,102,-196.58,0.18,NEUTRAL,STOPLOSS,40min
2026-02-19,TCS,BUY,2737.10,2724.17,12,-155.15,0.50,LONG,STOPLOSS,25min
2026-02-20,ADANIENT,SELL,2152.10,2162.46,15,-155.42,0.05,NEUTRAL,STOPLOSS,30min
2026-02-20,DRREDDY,BUY,1289.90,1285.92,26,-103.58,0.27,NEUTRAL,STOPLOSS,30min
2026-02-23,DRREDDY,BUY,1294.30,1290.05,26,245.40,0.95,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,230min
2026-02-23,ITC,SELL,326.25,327.13,104,41.40,-0.06,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,55min
2026-02-24,DRREDDY,BUY,1314.50,1310.00,25,-112.50,0.18,NEUTRAL,STOPLOSS,10min
2026-02-25,HEROMOTOCO,BUY,5616.00,5559.69,6,707.00,-0.16,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,80min
2026-02-25,ICICIBANK,BUY,1399.80,1396.30,24,-84.02,0.45,NEUTRAL,STOPLOSS,50min
2026-02-26,DRREDDY,BUY,1320.00,1313.59,25,-160.28,0.45,NEUTRAL,STOPLOSS,5min
2026-02-26,TECHM,BUY,1394.40,1384.76,24,-231.36,0.77,LONG,STOPLOSS,35min
2026-02-27,ADANIENT,SELL,2194.30,2205.17,15,430.50,-0.24,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,315min
2026-02-27,ICICIBANK,SELL,1392.20,1396.37,24,48.00,-0.11,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
